municipio_canonico,membro_amavi,observado_na_pesquisa_23_02_2026
Agrolândia,true,false
Agronômica,true,false
Alfredo Wagner,false,true
Atalanta,true,true
Aurora,true,false
Braço do Trombudo,true,false
Chapadão do Lageado,true,true
Dona Emma,true,true
Ibirama,true,true
Imbuia,true,false
Ituporanga,true,true
José Boiteux,true,true
Laurentino,true,false
Lontras,true,true
Mirim Doce,true,false
Petrolândia,true,false
Pouso Redondo,true,true
Presidente Getúlio,true,true
Presidente Nereu,true,true
Rio do Campo,true,false
Rio do Oeste,true,false
Rio do Sul,true,true
Salete,true,true
Santa Terezinha,true,false
Taió,true,true
Trombudo Central,true,false
Vidal Ramos,true,false
Vitor Meireles,true,true
Witmarsum,true,false
